"","Site","Year","Sex","Age","Trends","Incr","totalcost","fst.yr","ongoing.yr","last.yr"
"1","AllSites","2010","Both sexes","All ages","Incidence, Survival at constant rate","0%",124565.6,40463.5,46642.8,37459.2
"2","AllSites","2010","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",122420.8,38552.7,46671.9,37196.3
"3","AllSites","2010","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",125397.7,40463.5,47136.3,37797.9
"4","AllSites","2010","Both sexes","All ages","Incidence, Survival follow recent trends","0%",123236.3,38552.7,47155.7,37527.8
"5","AllSites","2010","Both sexes","All ages","Incidence, Survival follow recent trends","2%",123236.3,38552.7,47155.7,37527.8
"6","AllSites","2010","Both sexes","All ages","Incidence, Survival follow recent trends","5%",123236.3,38552.7,47155.7,37527.8
"7","Bladder","2010","Both sexes","All ages","Incidence, Survival at constant rate","0%",3980.7,978.7,1895.8,1106.3
"8","Bladder","2010","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",3885.2,923.3,1872.3,1089.7
"9","Bladder","2010","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",3987.7,978.7,1900.2,1108.8
"10","Bladder","2010","Both sexes","All ages","Incidence, Survival follow recent trends","0%",3891.9,923.3,1876.5,1092.2
"11","Bladder","2010","Both sexes","All ages","Incidence, Survival follow recent trends","2%",3891.9,923.3,1876.5,1092.2
"12","Bladder","2010","Both sexes","All ages","Incidence, Survival follow recent trends","5%",3891.9,923.3,1876.5,1092.2
"13","Brain","2010","Both sexes","All ages","Incidence, Survival at constant rate","0%",4469.3,1262.2,1062.9,2144.2
"14","Brain","2010","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",4437.6,1239.1,1061.6,2136.8
"15","Brain","2010","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",4501.8,1262.2,1070.5,2169.2
"16","Brain","2010","Both sexes","All ages","Incidence, Survival follow recent trends","0%",4469.7,1239.1,1069.1,2161.5
"17","Brain","2010","Both sexes","All ages","Incidence, Survival follow recent trends","2%",4469.7,1239.1,1069.1,2161.5
"18","Brain","2010","Both sexes","All ages","Incidence, Survival follow recent trends","5%",4469.7,1239.1,1069.1,2161.5
"19","Breast","2010","Females","All ages","Incidence, Survival at constant rate","0%",16499.8,6037.6,6742.4,3719.9
"20","Breast","2010","Females","All ages","Incidence follows recent trend, Survival constant","0%",15920.9,5634.7,6639.5,3646.6
"21","Breast","2010","Females","All ages","Survival follows recent trend, Incidence constant","0%",16512.2,6037.6,6750.1,3724.5
"22","Breast","2010","Females","All ages","Incidence, Survival follow recent trends","0%",15932.6,5634.7,6646.9,3651
"23","Breast","2010","Females","All ages","Incidence, Survival follow recent trends","2%",15932.6,5634.7,6646.9,3651
"24","Breast","2010","Females","All ages","Incidence, Survival follow recent trends","5%",15932.6,5634.7,6646.9,3651
"25","Cervix","2010","Females","All ages","Incidence, Survival at constant rate","0%",1545.7,492.5,368.3,684.9
"26","Cervix","2010","Females","All ages","Incidence follows recent trend, Survival constant","0%",1394.1,386,355.7,652.4
"27","Cervix","2010","Females","All ages","Survival follows recent trend, Incidence constant","0%",1546,492.5,368.4,685.2
"28","Cervix","2010","Females","All ages","Incidence, Survival follow recent trends","0%",1394.4,386,355.7,652.6
"29","Cervix","2010","Females","All ages","Incidence, Survival follow recent trends","2%",1394.4,386,355.7,652.6
