"","Site","NCTNum","Status","Drug_Bio","Phases","Enrollment","Results","DrugBio","PH","Success","totalcost","EstNewCases","EstDeaths","Survival_5yr"
"1","Bladder","NCT00003133","Completed","Biological: filgrastim|Drug: cisplatin|Drug: doxorubicin hydrochloride|Drug: gemcitabine hydrochloride|Drug: paclitaxel","10",30,"No Results Available","Drug",2,1,5711,81190,17240,74.8
"2","Bladder","NCT01326871","Unknown status","Drug: Cisplatin|Drug: Gemcitabine|Biological: ALT-801","15",90,"No Results Available","Both",3,0,5711,81190,17240,74.8
"3","Bladder","NCT03419130","Withdrawn","Radiation: Hypofractionated Radiation Therapy|Other: Laboratory Biomarker Analysis|Biological: Pembrolizumab|Radiation: Radiation Therapy","20",0,"No Results Available","Bio",4,0,5711,81190,17240,74.8
"4","Bladder","NCT00082719","Completed","Biological: Recombinant Interferon Alfa","10",33,"No Results Available","Bio",2,1,5711,81190,17240,74.8
"5","Bladder","NCT00268450","Terminated","Biological: bevacizumab|Drug: cisplatin|Drug: gemcitabine hydrochloride|Drug: paclitaxel|Procedure: cysectomy","20",21,"Has Results","Drug",4,0,5711,81190,17240,74.8
"6","Bladder","NCT00005831","Completed","Biological: trastuzumab|Drug: paclitaxel|Drug: carboplatin|Drug: gemcitabine hydrochloride|Other: laboratory biomarker analysis","20",40,"No Results Available","Drug",4,1,5711,81190,17240,74.8
"7","Bladder","NCT00004856","Terminated","Biological: trastuzumab","20",40,"No Results Available","Bio",4,0,5711,81190,17240,74.8
"8","Bladder","NCT00002919","Completed","Biological: filgrastim|Drug: cisplatin|Drug: doxorubicin hydrochloride|Drug: methotrexate|Drug: vinblastine sulfate|Procedure: conventional surgery","20",30,"No Results Available","Drug",4,1,5711,81190,17240,74.8
"9","Bladder","NCT00974818","Terminated","Drug: Mitomycin C (MMC)|Biological: Bacillus Calmette-Guerin (BCG)","30",50,"Has Results","Both",6,0,5711,81190,17240,74.8
"10","Bladder","NCT00003105","Completed","Biological: filgrastim|Drug: cisplatin|Drug: doxorubicin hydrochloride|Drug: gemcitabine hydrochloride|Drug: ifosfamide|Drug: paclitaxel","15",30,"No Results Available","Drug",3,1,5711,81190,17240,74.8
