"","NCTNum","Site","Status","Drug_Bio","Phases","Enrollment","Results","DrugBio","PH","Success"
"1","NCT00496236","Head_Neck","Completed","Drug: TNFerade biologic","15",NA,"No Results Available","Drug",3,1
"2","NCT00003585","Kidney","Completed","Biological: aldesleukin|Biological: recombinant interferon alfa|Drug: fluorouracil|Drug: isotretinoin|Procedure: surgical procedure","15",35,"No Results Available","Drug",3,1
"3","NCT00073398","Lung","Completed","Biological: Drug: Hyperacute Lung Cancer Cell Vaccine","15",54,"No Results Available","Drug",3,1
"4","NCT00868595","Prostate","Completed","Biological: BPX-101|Drug: AP1903","10",18,"No Results Available","Drug",2,1
"5","NCT00496535","Head_Neck","Completed","Drug: TNFerade biologic","15",NA,"No Results Available","Drug",3,1
"6","NCT02651610","Breast","Withdrawn","Biological: Bavituximab|Drug: Taxane","25",0,"No Results Available","Drug",5,0
"7","NCT02340845","Cancer","Unknown status","Biological: Bromelain and Comosain","20",100,"No Results Available","Bio",4,0
"8","NCT00116363","Melanoma","Unknown status","Genetic: investigational drug INGN 241","20",25,"No Results Available","Drug",4,0
"9","NCT00702884","Esophagus","Completed","Drug: sunitinib malate","20",25,"Has Results","Drug",4,1
"10","NCT00003780","Pancreas","Unknown status","Biological: tumor infiltrating lymphocyte therapy|Drug: gemcitabine hydrochloride","20",150,"No Results Available","Drug",4,0
"11","NCT00527982","Lung","Terminated","Drug: Celecoxib","20",1,"Has Results","Drug",4,0
"12","NCT00045370","Kidney","Completed","Biological: recombinant interferon alfa|Drug: temsirolimus","10",NA,"No Results Available","Drug",2,1
"13","NCT00887640","Prostate","Terminated","Drug: Temsirolimus|Drug: Diphenhydramine","20",11,"Has Results","Drug",4,0
"14","NCT00455039","Breast","Completed","Drug: GW572016","15",55,"No Results Available","Drug",3,1
"15","NCT00974818","Bladder","Terminated","Drug: Mitomycin C (MMC)|Biological: Bacillus Calmette-Guerin (BCG)","30",50,"Has Results","Both",6,0
"16","NCT00014430","Breast","Completed","Biological: trastuzumab|Drug: vinorelbine ditartrate","10",13,"No Results Available","Drug",2,1
"17","NCT00102622","Ovary","Terminated","Biological: Intraperitoneal tgDCC-E1A|Drug: Paclitaxel","10",18,"No Results Available","Drug",2,0
"18","NCT00057889","Kidney","Completed","Biological: ipilimumab","20",NA,"No Results Available","Bio",4,1
"19","NCT00109941","Pancreas","Completed","Biological: opioid growth factor|Biological: metenkephalin, OGF-opioid growth factor","20",25,"No Results Available","Bio",4,1
"20","NCT00276744","Pancreas","Terminated","Biological: cetuximab|Drug: capecitabine|Drug: docetaxel|Drug: Erlotinib|Drug: Gemcitabine|Drug: Irinotecan|Drug: mitomycin C|Drug: rapamycin|Procedure: conventional surgery","20",249,"Has Results","Drug",4,0
"21","NCT02270372","Breast","Completed","Biological: ONT-10, Varlilumab combination","10",22,"No Results Available","Bio",2,1
"22","NCT00005842","Cancer","Completed","Biological: trastuzumab|Drug: tipifarnib","10",24,"No Results Available","Drug",2,1
"23","NCT00112580","Pancreas","Completed","Biological: ipilimumab","20",82,"No Results Available","Bio",4,1
"24","NCT00796055","Cancer","Terminated","Drug: MEDI-547","10",6,"No Results Available","Drug",2,0
"25","NCT00095706","Breast","Completed","Drug: Bevacizumab (drug), Herceptin (drug)","15",50,"No Results Available","Drug",3,1
"26","NCT00111696","Melanoma","Completed","Biological: MEDI-522","10",18,"No Results Available","Bio",2,1
"27","NCT01504542","Lung","Withdrawn","Biological: HS110 vaccine|Biological: Placebo","20",0,"No Results Available","Bio",4,0
"28","NCT00004070","Head_Neck","Completed","Biological: IL-12","15",7,"No Results Available","Bio",3,1
"29","NCT00588003","Breast","Completed","Drug: anastrozole|Other: Placebo","10",45,"No Results Available","Drug",2,1
"30","NCT00093834","Breast","Completed","Biological: allogeneic GM-CSF-secreting breast cancer vaccine|Drug: cyclophosphamide|Drug: doxorubicin hydrochloride","10",60,"No Results Available","Drug",2,1
"31","NCT00132522","Lung","Completed","Drug: EMD 273066","10",45,"No Results Available","Drug",2,1
"32","NCT02283749","Lung","Completed","Biological: Xofigo","20",5,"Has Results","Bio",4,1
"33","NCT00503685","Colorectal","Completed","Biological: IMC-A12|Biological: cetuximab","20",65,"Has Results","Bio",4,1
"34","NCT00431054","Ovary","Completed","Drug: Perifosine|Drug: Docetaxel","10",22,"No Results Available","Drug",2,1
"35","NCT03351231","Cancer","Terminated","Drug: BMS-986242|Biological: Nivolumab","15",7,"No Results Available","Both",3,0
"36","NCT01300858","Colorectal","Terminated","Drug: EGEN-001-301","15",4,"No Results Available","Drug",3,0
"37","NCT00499486","Pancreas","Completed","Drug: sirolimus","20",47,"Has Results","Drug",4,1
"38","NCT02332889","Brain","Terminated","Biological: Vaccine (autologous dendritic cells)|Drug: Decitabine and Hiltonol","15",1,"Has Results","Drug",3,0
"39","NCT00003664","Kidney","Unknown status","Biological: aldesleukin|Biological: recombinant interferon alfa|Drug: fluorouracil|Drug: gemcitabine hydrochloride","20",30,"No Results Available","Drug",4,0
"40","NCT02855086","Brain","Terminated","Biological: Cetuximab|Drug: Cetuximab-IRDye 800CW|Procedure: Tumor resection","15",3,"Has Results","Drug",3,0
"41","NCT00052715","Brain","Terminated","Drug: poly ICLC","20",31,"Has Results","Drug",4,0
"42","NCT00072059","Lung","Completed","Biological: methoxy polyethylene glycol epoetin beta","20",NA,"No Results Available","Bio",4,1
"43","NCT00006022","Kidney","Completed","Biological: aldesleukin|Drug: bryostatin 1","10",17,"No Results Available","Drug",2,1
"44","NCT00004890","Kidney","Completed","Biological: aldesleukin|Drug: Biomed 101","10",NA,"No Results Available","Drug",2,1
"45","NCT00091078","Stomach","Terminated","Biological: oblimersen sodium|Drug: imatinib mesylate|Other: laboratory biomarker analysis","20",96,"No Results Available","Drug",4,0
"46","NCT00014131","Kidney","Terminated","Biological: Biological/Vaccine: therapeutic autologous dendritic cells.","15",9,"No Results Available","Bio",3,0
"47","NCT00004870","Colorectal","Completed","Biological: oblimersen sodium|Drug: irinotecan hydrochloride","15",NA,"No Results Available","Drug",3,1
"48","NCT02116894","Colorectal","Completed","Biological: PF-03446962|Drug: Regorafenib","10",11,"No Results Available","Drug",2,1
"49","NCT02008383","Colorectal","Completed","Biological: Panitumumab|Drug: Cabozantinib","10",29,"No Results Available","Drug",2,1
"50","NCT02487459","Leukemia","Withdrawn","Biological: BPX-501|Drug: AP1903","10",0,"No Results Available","Drug",2,0
"51","NCT00085384","Ovary","Terminated","Biological: PEG-interferon alfa-2b|Drug: PEG-interferon alfa-2b","15",30,"No Results Available","Drug",3,0
"52","NCT01823978","Prostate","Completed","Biological: BPX-201 vaccine plus AP1903","10",19,"No Results Available","Bio",2,1
"53","NCT00441337","Lung","Completed","Biological: MDX-1106","10",39,"Has Results","Bio",2,1
"54","NCT00005025","Ovary","Unknown status","Biological: herpes simplex thymidine kinase|Drug: ganciclovir","20",NA,"No Results Available","Drug",4,0
"55","NCT01309126","Colorectal","Terminated","Biological: Imprime PGG + cetuximab|Drug: Cetuximab","30",217,"No Results Available","Drug",6,0
"56","NCT00393094","Brain","Terminated","Biological: Bevacizumab|Drug: Irinotecan hydrochloride","20",31,"Has Results","Drug",4,0
"57","NCT03340558","Colorectal","Withdrawn","Biological: Atezolizumab|Drug: Cobimetinib","20",0,"No Results Available","Drug",4,0
"58","NCT00836407","Pancreas","Completed","Drug: Ipilimumab|Biological: Pancreatic Cancer Vaccine","10",30,"Has Results","Both",2,1
"59","NCT00206466","Breast","Completed","Drug: Taxotere|Drug: Adriamycin/cytoxan","20",70,"No Results Available","Drug",4,1
"60","NCT01009866","Brain","Terminated","Biological: MR1-1","10",9,"No Results Available","Bio",2,0
"61","NCT00603408","Breast","Terminated","Drug: Cisplatin|Radiation: Radiation Therapy|Procedure: Mastectomy","20",5,"Has Results","Drug",4,0
"62","NCT00817531","Breast","Terminated","Drug: Dasatinib","20",22,"Has Results","Drug",4,0
"63","NCT00033514","Breast","Completed","Biological: trastuzumab|Drug: erlotinib hydrochloride","15",27,"Has Results","Drug",3,1
"64","NCT00404404","Breast","Unknown status","Biological: bevacizumab|Drug: paclitaxel albumin-stabilized nanoparticle formulation","20",35,"No Results Available","Drug",4,0
"65","NCT00030524","Colorectal","Completed","Drug: gefitinib","20",NA,"No Results Available","Drug",4,1
"66","NCT02793219","Prostate","Withdrawn","Biological: Sipuleucel-T|Drug: Docetaxel","20",0,"No Results Available","Drug",4,0
"67","NCT02793765","Prostate","Withdrawn","Drug: Docetaxel|Biological: Sipuleucel-T","20",0,"No Results Available","Both",4,0
"68","NCT00217672","Breast","Completed","Biological: bevacizumab|Drug: Docetaxel","20",76,"Has Results","Drug",4,1
"69","NCT00005635","Breast","Completed","Biological: trastuzumab|Drug: paclitaxel","20",NA,"No Results Available","Drug",4,1
"70","NCT00004013","Breast","Completed","Biological: trastuzumab|Drug: paclitaxel","20",60,"No Results Available","Drug",4,1
"71","NCT00003539","Breast","Completed","Biological: trastuzumab|Drug: paclitaxel","20",50,"No Results Available","Drug",4,1
"72","NCT00006381","Breast","Completed","Biological: trastuzumab|Drug: celecoxib","20",NA,"No Results Available","Drug",4,1
